01 0F 00 00 00 00  : パイプオルガン1
01 6E 02 00 00 00  : パイプオルガン2
01 6E 00 00 00 00  : パイプオルガン3
01 0F 02 00 00 00  : パイプオルガン4
01 6F 00 00 00 00  : パイプオルガン5
01 0E 00 00 00 00  : ハーモニカ1
01 6D 00 00 00 00  : ハーモニカ2
01 6D 02 00 00 00  : ハーモニカ3
01 43 00 00 00 00  : シアターオルガン1
01 71 00 00 00 00  : シアターオルガン2
01 43 02 00 00 00  : シアターオルガン3
01 43 04 00 00 00  : シアターオルガン4
01 43 06 00 00 00  : シアターオルガン5
01 43 08 00 00 00  : シアターオルガン6
01 43 0A 00 00 00  : シアターオルガン7
01 43 0C 00 00 00  : シアターオルガン8
01 26 00 00 00 00  : アコーディオン1
01 26 02 00 00 00  : アコーディオン2
01 26 04 00 00 00  : アコーディオン3
01 26 06 00 00 00  : アコーディオン4
01 45 00 00 00 00  : バンドネオン
01 70 00 00 00 00  : リードオルガン
01 25 00 00 00 00  : ジャズオルガン1
01 44 00 00 00 00  : ジャズオルガン2
01 73 00 00 00 00  : ジャズオルガン3
01 1E 01 00 00 00  : ジャズオルガン4
01 25 02 00 00 00  : ジャズオルガン5
01 73 02 00 00 00  : ジャズオルガン6
01 73 04 00 00 00  : ジャズオルガン7
01 73 06 00 00 00  : ジャズオルガン8
01 73 08 00 00 00  : ジャズオルガン9
01 24 00 00 00 00  : ポップオルガン1
01 72 00 00 00 00  : ポップオルガン2
01 24 02 00 00 00  : ポップオルガン3
01 24 04 00 00 00  : ポップオルガン4
01 24 06 00 00 00  : ポップオルガン5
01 1E 03 00 00 00  : ロックオルガン1
01 1E 05 00 00 00  : ロックオルガン2
01 1E 07 00 00 00  : ロックオルガン3
01 10 00 00 00 00  : オルガンベース1
01 27 00 00 00 00  : オルガンベース2
01 46 00 00 00 00  : オルガンベース3
01 74 00 00 00 00  : オルガンベース4
